Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Type,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Settings, ,85,1,3,4,15,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference,ConvertPrintSaveToString(PrintSavePreference.PrintSave) : string,85,1,,2,8,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference,ConvertStringToPrintSave(string) : PrintSavePreference.PrintSave,85,1,,2,8,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,SetPrintSave(PrintSavePreference.PrintSave) : void,85,1,,2,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,"Apartment(int, Tenant)",85,1,,1,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,GetExcelProcessID(Application) : int,85,1,,1,6,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,SetExcelWorkBookFullFileSpec(string) : void,85,1,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,SetExcelWorkSheetName(string) : void,85,1,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,SetDefaultSaveDirectory(string) : void,85,1,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,fileValueIds : string[],85,0,,0,7,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,PrintSaveChange() : void,86,4,,2,17,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,"ANV_ApartmentNumber_TB_KeyDown(object, KeyEventArgs) : void",86,2,,2,7,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,PrintMailboxListsDlg(),86,1,,3,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ChangeActiveWorkbook(string) : void,86,1,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ChangeActiveWorksheet(string) : void,86,1,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,"DR_DeleteRenter_BTN_Click(object, EventArgs) : void",88,1,,3,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_Cancel_Button_Click(object, EventArgs) : void",88,1,,2,5,2
Type,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileException, ,88,1,2,2,8,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"PrintMailboxLists_Button_Click(object, EventArgs) : void",88,1,,2,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"EditPreferences_BTN_Click(object, EventArgs) : void",88,1,,2,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,ApartmentNumberVerifier(),88,1,,1,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileException,"ExcelFileException(string, Exception)",88,1,,1,3,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,RentRosterApp(),88,1,,1,5,2
Type,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData, ,89,14,1,3,40,10
Type,TenantRosterAutomation (Release),TenantRosterAutomation,Building, ,89,13,1,1,47,13
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,mergedName() : string,89,2,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_FindRenterRoster_BTN_Click(object, EventArgs) : void",89,1,,1,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_RentRosterLocation_TB_Click(object, EventArgs) : void",89,1,,1,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,UserPreferences(UserPreferences),89,1,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Settings,defaultInstance : Settings,89,0,,1,1,1
Type,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant, ,90,25,1,0,55,18
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_DefaultFileFolder_TB_TextChanged(object, EventArgs) : void",91,1,,3,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_RentRosterLocation_TB_TextChanged(object, EventArgs) : void",91,1,,3,4,1
Type,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment, ,92,6,1,3,22,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,BuildingFromApartment(int) : string,92,2,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_PrintAndSave_RB_CheckedChanged(object, EventArgs) : void",93,1,,3,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_SavelOnly_RB_CheckedChanged(object, EventArgs) : void",93,1,,3,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_PrintOnly_RB_CheckedChanged(object, EventArgs) : void",93,1,,3,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,"ANV_ApartmentNumber_TB_TextChanged(object, EventArgs) : void",93,1,,2,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"RentRosterApp_FormClosing(object, FormClosingEventArgs) : void",93,1,,2,6,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,IsApartmentInThisBuildin(int) : bool,93,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,Dispose() : void,93,1,,1,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"GetWindowThreadProcessId(int, int) : int",93,1,,1,2,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,MSWordInterface(UserPreferences),93,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,Save() : void,93,1,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,buildingList : List<Building>,93,0,,2,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,components : IContainer,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,components : IContainer,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,components : IContainer,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,components : IContainer,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,oMissing : object,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,components : IContainer,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,components : IContainer,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,components : IContainer,93,0,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,preferencesFileName : string,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,oEndOfDoc : object,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,addDateToFileName : bool,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,addDateToTitle : bool,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,fileVersion : int,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,fileVersionId : int,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,printSaveOptionId : int,93,0,,0,1,1
